DATAFLOW,LAST UPDATE,freq,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2013,46,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2014,56,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2015,56,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2016,58,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2017,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2018,67,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2019,71,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2020,76,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE22,2021,77,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2010,37,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2011,44,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2012,48,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2013,55,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2014,60,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2015,57,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2016,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2017,63,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2018,66,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2019,70,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2020,81,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE23,2021,80,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2010,47,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2011,54,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2012,53,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2013,59,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2014,62,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2015,67,
ESTAT:TGS00052(1.0),16/12/21 11:00:00,A,I_BLT12,PC_IND,BE24,2016,67,
