DATAFLOW,LAST UPDATE,freq,nace_r2,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2015,3.5,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2016,4.8,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2017,5.5,b
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2018,5.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2019,5.9,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BE35,2020,5.4,
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2009,2.0,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2010,1.7,bu
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2011,2.0,bu
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2012,2.1,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2013,2.3,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2014,1.8,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2015,1.5,u
ESTAT:TGS00039(1.0),10/09/21 23:00:00,A,HTC,PC_EMP,T,BG31,2016,2.2,u
